12:5:43,25391104,0.20722320899941507
12:5:44,25391104,0
12:5:45,25391104,0
12:5:46,25391104,0
12:5:47,25391104,0
12:5:48,25391104,0
12:5:49,25391104,0
12:5:50,25391104,0
12:5:51,27287552,3
12:5:52,57966592,103
12:5:53,59052032,99
12:5:54,59215872,96
12:5:55,59392000,99
12:5:56,59494400,100
12:5:57,59883520,99
12:5:58,60010496,100.00000000051867
12:5:59,60067840,98
12:6:0,60141568,98
12:6:1,60141568,100
12:6:2,60493824,100
12:6:3,60559360,100
12:6:4,60600320,100
12:6:5,60682240,99
12:6:6,60682240,100
12:6:7,60682240,100
12:6:8,60948480,99
12:6:9,61202432,99.00990098918604
12:6:10,61825024,100
12:6:11,61378560,100
12:6:12,61378560,100
12:6:13,61378560,99
12:6:14,61607936,101
12:6:15,61607936,99
12:6:16,61808640,99
12:6:17,61935616,100
12:6:18,62021632,100
12:6:19,62103552,98.01980198070643
12:6:20,62103552,100
12:6:21,62332928,99
12:6:22,62332928,100
12:6:23,62537728,101
12:6:24,62537728,99
12:6:25,62713856,100
12:6:27,62713856,99
12:6:28,63377408,101
12:6:29,63156224,98.01980197929417
12:6:30,63156224,99
12:6:31,63422464,101
12:6:32,63422464,100
12:6:33,63422464,100
12:6:34,63692800,99
12:6:35,63692800,100
12:6:36,63692800,100
12:6:37,63975424,99
12:6:38,64098304,99.00990099061255
12:6:39,64176128,100
12:6:40,64176128,99
12:6:41,64372736,100
12:6:42,64491520,99
12:6:43,64491520,100
12:6:44,64692224,100
12:6:45,64770048,100
12:6:46,64888832,99
12:6:47,64888832,100.00000000051867
12:6:48,64888832,99
12:6:49,65155072,100
12:6:50,65155072,99
12:6:51,65425408,101
12:6:52,65425408,99
12:6:53,65425408,100
12:6:54,65695744,100
12:6:55,65695744,100
12:6:56,65695744,98.01980197929417
12:6:57,65966080,100
12:6:58,65966080,100
12:6:59,65966080,99
12:7:0,66236416,100
12:7:1,66236416,99
12:7:2,66854912,100
12:7:3,66383872,100
12:7:4,66383872,100
12:7:5,66383872,100
12:7:6,66682880,98.01980198070643
12:7:7,66777088,100
12:7:8,66777088,100
12:7:9,66973696,99
12:7:10,67084288,100
12:7:11,67190784,100
12:7:12,67264512,100
12:7:13,67366912,99
12:7:14,67366912,99.00990099061255
12:7:15,67366912,99
12:7:16,67633152,100
12:7:17,67633152,100
12:7:18,67903488,99
12:7:19,67903488,99
12:7:20,67903488,99
12:7:21,68173824,100
12:7:22,68173824,101
12:7:23,68173824,98.01980197929417
12:7:24,68444160,99
12:7:25,68444160,100
12:7:26,68444160,100
12:7:27,68714496,100
12:7:28,68714496,99
12:7:29,68714496,100
12:7:30,68984832,100
12:7:31,68984832,100
12:7:32,69255168,99
12:7:33,69255168,100
12:7:34,69255168,99
12:7:35,69525504,98.01980198070643
12:7:36,69525504,101
12:7:37,69181440,99
12:7:38,69287936,101
12:7:39,69287936,99
12:7:40,69287936,101
12:7:41,69287936,99
12:7:42,69287936,100
12:7:43,69287936,99
12:7:44,69287936,100
12:7:45,69287936,98.01980198070643
12:7:46,69287936,99
12:7:47,69287936,100
12:7:48,69287936,99
12:7:49,69287936,100
12:7:50,69287936,100
12:7:51,69287936,100
12:7:52,68882432,96
12:7:53,68882432,0
12:7:54,68882432,0
12:7:55,68882432,0
12:7:56,68882432,0
12:7:57,68882432,0
12:7:58,68882432,0
12:7:59,68882432,0
12:8:0,68882432,0
12:8:1,68882432,0
12:8:2,68882432,0
12:8:3,68882432,0
12:8:4,68882432,0
12:8:5,68882432,0
12:8:6,68882432,0
12:8:7,68882432,0
12:8:8,68882432,0
12:8:9,68882432,0
12:8:10,68882432,0
12:8:11,68882432,0
12:8:12,68882432,0
12:8:13,68882432,0
12:8:14,68882432,0
12:8:15,68874240,9
12:8:16,69500928,100
12:8:17,69484544,99.00990099061255
12:8:18,69468160,99
12:8:19,69451776,100
12:8:20,69435392,100
12:8:21,69423104,99
12:8:22,69406720,100
12:8:23,69390336,100
12:8:24,69390336,99
12:8:25,69390336,100
12:8:26,69390336,98.01980198070643
12:8:27,69390336,100
12:8:28,69390336,99
12:8:29,69390336,100
12:8:30,69390336,100
12:8:31,69390336,99
12:8:32,69390336,100
12:8:33,69390336,100
12:8:34,69390336,99
12:8:35,69390336,100
12:8:36,69505024,100
12:8:37,69505024,99
12:8:38,69505024,99.00990098918604
12:8:39,69505024,100
12:8:40,69505024,99
12:8:41,69505024,100
12:8:42,69505024,100
12:8:43,69505024,100
12:8:44,69505024,99
12:8:45,69505024,100
12:8:46,69505024,99
12:8:47,69505024,100
12:8:48,69505024,99.00990099061255
12:8:49,69505024,100
12:8:50,69505024,98
12:8:51,69505024,100
12:8:52,69550080,99
12:8:53,69550080,100
12:8:54,69550080,100
12:8:55,69550080,100
12:8:56,69550080,99
12:8:57,69550080,100
12:8:58,69550080,100
12:8:59,69550080,99.00990099061255
12:9:0,69550080,99
12:9:1,69550080,100
12:9:2,69550080,99
12:9:3,69550080,100
12:9:4,69550080,99
12:9:5,69550080,100
12:9:6,69550080,100
12:9:7,69550080,99
12:9:8,69550080,99
12:9:9,69550080,100
12:9:10,69550080,99
12:9:11,69550080,101
12:9:12,69550080,99
12:9:13,69550080,99.00990098918604
12:9:14,69550080,99
12:9:15,69550080,101
12:9:16,69550080,99
12:9:17,69550080,100
12:9:18,69550080,98
12:9:19,69550080,100
12:9:20,69550080,100
12:9:21,69550080,100
12:9:22,69550080,98
12:9:23,69550080,100
12:9:24,69550080,99.00990099061255
12:9:25,69550080,100
12:9:26,69550080,100
12:9:27,69550080,100
12:9:28,69550080,99
12:9:29,69550080,100
12:9:30,69550080,100
12:9:31,69550080,99
12:9:32,69550080,99
12:9:33,69537792,99.00990099061255
12:9:34,69537792,99
12:9:35,69537792,101
12:9:36,69537792,99
12:9:37,69537792,100
12:9:38,69537792,100
12:9:39,69537792,98
12:9:40,69537792,99
12:9:41,69488640,101
12:9:42,69488640,100
12:9:43,69488640,98
12:9:44,69488640,99.00990098918604
12:9:45,69488640,100
12:9:46,69488640,100
12:9:47,69488640,99
12:9:48,69488640,99
12:9:49,69488640,101
12:9:50,69488640,98.01980198070643
12:9:51,69488640,100
12:9:52,69488640,99
12:9:53,69488640,100
12:9:54,69488640,99
12:9:55,69488640,100
12:9:56,69488640,100
12:9:57,69488640,100
12:9:58,69488640,99
12:9:59,69488640,100
12:10:0,69488640,98.01980198070643
12:10:1,69488640,100
12:10:2,69488640,100
12:10:3,69488640,99
12:10:4,69488640,99
12:10:5,69488640,100
12:10:6,69558272,101
12:10:7,69558272,99
12:10:8,69558272,98.01980197929417
12:10:9,69558272,100
12:10:10,69558272,99
12:10:11,69558272,101
12:10:12,69558272,98
12:10:13,69558272,100
12:10:14,69558272,98
12:10:15,69554176,91
12:10:16,69554176,0
12:10:17,69554176,0
12:10:18,69554176,0
12:10:19,69554176,0
12:10:20,69554176,0
12:10:21,69554176,0
12:10:22,69554176,0
12:10:23,69554176,0
12:10:24,69554176,0
12:10:25,69554176,0
12:10:26,69554176,0
12:10:27,69554176,0
12:10:28,69554176,0
12:10:29,69554176,0
12:10:30,69554176,0
12:10:31,69554176,0
12:10:32,69554176,0
12:10:33,69554176,0
12:10:34,69554176,0
12:10:35,69554176,0
12:10:36,69554176,0
12:10:37,69554176,0
12:10:38,69554176,0
12:10:39,69554176,0
